GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID,opp_team,OPP_ID,EVENTNUM
Shot Chart Detail,42500111,16,1630573,Sam Hauser,1610612738,Boston Celtics,1,11,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,9,258,1,1,20260419,BOS,PHI,4250011116,450,0,1627759|1628369|1628401|1629674|1630573,1,PS,2026,1642845,4.0,SG,Point of Attack,0.0714816656221486,Hauser 26' 3PT Jump Shot (3 PTS) (Brown 1 AST),PF,Off Screen Shooter,0.597256437624363,1627759.0,PHI,1610612755.0,16
Shot Chart Detail,42500111,19,1627759,Jaylen Brown,1610612738,Boston Celtics,1,10,29,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-16,38,1,0,20260419,BOS,PHI,4250011119,910,0,1627759|1628369|1628401|1629674|1630573,0,PS,2026,1641737,1.0,C,Mobile Big,1.490815663614146,MISS Brown 4' Driving Finger Roll Layup,SF,Shot Creator,2.078095376934286,,PHI,1610612755.0,19
Shot Chart Detail,42500111,26,1629674,Neemias Queta,1610612738,Boston Celtics,1,10,9,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,13,1,1,20260419,BOS,PHI,4250011126,1110,0,1627759|1628369|1628401|1629674|1630573,1,PS,2026,1626162,3.0,SF,Wing Stopper,-0.6762088547513607,Queta 1' Cutting Dunk Shot (3 PTS) (Tatum 1 AST),C,Roll + Cut Big,0.7107474472222479,1628369.0,PHI,1610612755.0,26
Shot Chart Detail,42500111,36,1628369,Jayson Tatum,1610612738,Boston Celtics,1,9,36,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-115,111,1,1,20260419,BOS,PHI,4250011136,1440,0,1627759|1628369|1628401|1629674|1630573,0,PS,2026,203083,2.0,C,Anchor Big,0.7372395550333486,Tatum 16' Fadeaway Jumper (2 PTS),PF,Shot Creator,2.95509300831926,,PHI,1610612755.0,36
Shot Chart Detail,42500111,38,1628369,Jayson Tatum,1610612738,Boston Celtics,1,9,6,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,85,78,1,0,20260419,BOS,PHI,4250011138,1740,0,1627759|1628369|1628401|1629674|1630573,0,PS,2026,202331,2.0,PF,Helper,0.3851208561727313,MISS Tatum 12' Turnaround Fadeaway Shot,PF,Shot Creator,2.95509300831926,,PHI,1610612755.0,38
Shot Chart Detail,42500111,52,1630573,Sam Hauser,1610612738,Boston Celtics,1,8,25,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,173,183,1,1,20260419,BOS,PHI,4250011152,2150,0,202696|1627759|1628369|1628401|1630573,1,PS,2026,1630178,4.0,PG,Chaser,-0.5658230632981012,Hauser 25' 3PT Pullup Jump Shot (6 PTS) (Tatum 2 AST),PF,Off Screen Shooter,0.597256437624363,1628369.0,PHI,1610612755.0,52
Shot Chart Detail,42500111,58,1627759,Jaylen Brown,1610612738,Boston Celtics,1,7,56,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-69,52,1,0,20260419,BOS,PHI,4250011158,2440,0,202696|1627759|1628369|1628401|1630573,0,PS,2026,1642845,4.0,SG,Point of Attack,0.0714816656221486,MISS Brown 9' Driving Hook Shot,SF,Shot Creator,2.078095376934286,,PHI,1610612755.0,58
Shot Chart Detail,42500111,62,1627759,Jaylen Brown,1610612738,Boston Celtics,1,7,53,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-173,12,1,1,20260419,BOS,PHI,4250011162,2470,0,202696|1627759|1628369|1628401|1630573,1,PS,2026,1626162,6.0,SF,Wing Stopper,-0.6762088547513607,Brown 17' Turnaround Fadeaway (2 PTS) (Tatum 3 AST),SF,Shot Creator,2.078095376934286,1628369.0,PHI,1610612755.0,62
Shot Chart Detail,42500111,66,1628369,Jayson Tatum,1610612738,Boston Celtics,1,7,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,17,1,1,20260419,BOS,PHI,4250011166,2760,0,202696|1627759|1628369|1628401|1630573,1,PS,2026,202331|1630178,8.0,,,,,PF,Shot Creator,2.95509300831926,1628401.0,PHI,1610612755.0,66
Shot Chart Detail,42500111,71,1628369,Jayson Tatum,1610612738,Boston Celtics,1,6,53,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-108,123,1,1,20260419,BOS,PHI,4250011171,3070,0,202696|1627759|1628369|1628401|1630573,1,PS,2026,1630178,10.0,PG,Chaser,-0.5658230632981012,Tatum 16' Turnaround Fadeaway (6 PTS) (Hauser 1 AST),PF,Shot Creator,2.95509300831926,1630573.0,PHI,1610612755.0,71
