GRID_TYPE,GAME_ID,EVENTNUM,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,opp_team,OPP_ID,ASSIST_ID
Shot Chart Detail,42000121,7,1629130,Duncan Robinson,1610612748,Miami Heat,1,11,39,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,149,226,1,1,20210522,MIL,MIA,420001217,210,0,2772|202710|1628389|1629130|1629134,0,PS,2021,203114,3.0,SF,Helper,0.34,Robinson 27' 3PT Pullup Jump Shot (3 PTS),SF,Off Screen Shooter,-0.33,MIL,1610612749.0,
Shot Chart Detail,42000121,10,2772,Trevor Ariza,1610612748,Miami Heat,1,11,22,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,20,1,0,20210522,MIL,MIA,4200012110,380,0,2772|202710|1628389|1629130|1629134,0,PS,2021,201572,3.0,C,Anchor Big,1.24,MISS Ariza 2' Running Layup,SF,Athletic Finisher,-0.71,MIL,1610612749.0,
Shot Chart Detail,42000121,13,1628389,Bam Adebayo,1610612748,Miami Heat,1,11,19,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-70,115,1,0,20210522,MIL,MIA,4200012113,410,0,2772|202710|1628389|1629130|1629134,0,PS,2021,201572,3.0,C,Anchor Big,1.24,MISS Adebayo 13' Pullup Jump Shot,C,Shot Creator,0.43,MIL,1610612749.0,
Shot Chart Detail,42000121,17,1629130,Duncan Robinson,1610612748,Miami Heat,1,10,59,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-17,257,1,1,20210522,MIL,MIA,4200012117,610,0,2772|202710|1628389|1629130|1629134,1,PS,2021,203507,6.0,PF,Helper,2.53,Robinson 26' 3PT Pullup Jump Shot (6 PTS) (Butler 1 AST),SF,Off Screen Shooter,-0.33,MIL,1610612749.0,202710.0
Shot Chart Detail,42000121,20,202710,Jimmy Butler III,1610612748,Miami Heat,1,10,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,157,210,1,0,20210522,MIL,MIA,4200012120,870,0,2772|202710|1628389|1629130|1629134,0,PS,2021,203507,4.0,PF,Helper,2.53,MISS Butler 26' 3PT Jump Shot,SF,Shot Creator,3.63,MIL,1610612749.0,
Shot Chart Detail,42000121,33,1629130,Duncan Robinson,1610612748,Miami Heat,1,9,28,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-155,228,1,1,20210522,MIL,MIA,4200012133,1520,0,2772|202710|1628389|1629130|1629134,1,PS,2021,203114,7.0,SF,Helper,0.34,Robinson 28' 3PT Pullup Jump Shot (9 PTS) (Adebayo 1 AST),SF,Off Screen Shooter,-0.33,MIL,1610612749.0,1628389.0
Shot Chart Detail,42000121,45,1629130,Duncan Robinson,1610612748,Miami Heat,1,8,52,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-169,205,1,0,20210522,MIL,MIA,4200012145,1880,0,2772|202710|1628389|1629130|1629134,0,PS,2021,203114,5.0,SF,Helper,0.34,MISS Robinson 27' 3PT Pullup Jump Shot,SF,Off Screen Shooter,-0.33,MIL,1610612749.0,
Shot Chart Detail,42000121,48,1628389,Bam Adebayo,1610612748,Miami Heat,1,8,33,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-18,128,1,1,20210522,MIL,MIA,4200012148,2070,0,2772|202710|1628389|1629130|1629134,0,PS,2021,201572,5.0,C,Anchor Big,1.24,Adebayo 13' Fadeaway Jumper (2 PTS),C,Shot Creator,0.43,MIL,1610612749.0,
Shot Chart Detail,42000121,56,1629134,Kendrick Nunn,1610612748,Miami Heat,1,7,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,25,262,1,0,20210522,MIL,MIA,4200012156,2490,0,2772|202710|1628389|1629130|1629134,0,PS,2021,203507,4.0,PF,Helper,2.53,MISS Nunn 26' 3PT Jump Shot,PG,Primary Ball Handler,0.45,MIL,1610612749.0,
Shot Chart Detail,42000121,65,1629134,Kendrick Nunn,1610612748,Miami Heat,1,7,25,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-35,138,1,1,20210522,MIL,MIA,4200012165,2750,0,2772|202710|1628389|1629130|1629134,1,PS,2021,1628978|203507,5.0,,,,,PG,Primary Ball Handler,0.45,MIL,1610612749.0,202710.0
